,0
0,valor_leitura_flu_1000580(t-0)
1,valor_leitura_flu_143(t-0)
2,valor_leitura_flu_280(t-0)
3,valor_leitura_flu_413(t-0)
4,valor_leitura_flu_563(t-11)
5,valor_leitura_flu_563(t-10)
6,valor_leitura_flu_563(t-9)
7,valor_leitura_flu_563(t-8)
8,valor_leitura_flu_563(t-7)
9,valor_leitura_flu_563(t-6)
10,valor_leitura_flu_563(t-5)
11,valor_leitura_flu_563(t-4)
12,valor_leitura_flu_563(t-3)
13,valor_leitura_flu_563(t-2)
14,valor_leitura_flu_563(t-1)
15,valor_leitura_flu_563(t-0)
16,valor_leitura_plu_1000370(t-7)
17,valor_leitura_plu_1000370(t-6)
18,valor_leitura_plu_1000370(t-1)
19,valor_leitura_plu_1000370(t-0)
20,valor_leitura_plu_1000380(t-0)
21,valor_leitura_plu_1000400(t-9)
22,valor_leitura_plu_1000400(t-8)
23,valor_leitura_plu_1000400(t-7)
24,valor_leitura_plu_1000400(t-6)
25,valor_leitura_plu_1000400(t-5)
26,valor_leitura_plu_1000400(t-4)
27,valor_leitura_plu_1000400(t-3)
28,valor_leitura_plu_1000400(t-0)
29,valor_leitura_plu_1000410(t-3)
30,valor_leitura_plu_1000410(t-2)
31,valor_leitura_plu_1000410(t-1)
32,valor_leitura_plu_1000410(t-0)
33,valor_leitura_plu_1000430(t-11)
34,valor_leitura_plu_1000430(t-10)
35,valor_leitura_plu_1000430(t-0)
36,valor_leitura_plu_1000490(t-11)
37,valor_leitura_plu_1000490(t-10)
38,valor_leitura_plu_1000490(t-9)
39,valor_leitura_plu_1000500(t-7)
40,valor_leitura_plu_1000500(t-6)
41,valor_leitura_plu_1000500(t-5)
42,valor_leitura_plu_1000500(t-3)
43,valor_leitura_plu_1000500(t-2)
44,valor_leitura_plu_1000500(t-1)
45,valor_leitura_plu_1000500(t-0)
46,valor_leitura_plu_1000510(t-8)
47,valor_leitura_plu_1000510(t-1)
48,valor_leitura_plu_1000510(t-0)
49,valor_leitura_plu_1000868(t-1)
50,valor_leitura_plu_1000868(t-0)
51,valor_leitura_plu_280(t-7)
52,valor_leitura_plu_280(t-1)
53,valor_leitura_plu_280(t-0)
54,valor_leitura_plu_283(t-1)
55,valor_leitura_plu_283(t-0)
56,valor_leitura_plu_413(t-2)
57,valor_leitura_plu_413(t-1)
58,valor_leitura_plu_413(t-0)
59,valor_leitura_plu_511(t-4)
60,valor_leitura_plu_511(t-3)
61,valor_leitura_plu_511(t-2)
62,valor_leitura_plu_511(t-1)
63,valor_leitura_plu_511(t-0)
64,valor_leitura_plu_514(t-1)
65,valor_leitura_plu_514(t-0)
66,valor_leitura_plu_563(t-0)
67,valor_leitura_plu_629(t-0)
